"","EURIRS","Rate_Name","Rate_Value"
"183","23/02/2021","X20.ANNI",0.37
"184","23/02/2021","X25.ANNI",0.39
"185","23/02/2021","X30.ANNI",0.38
"186","24/02/2021","X10.ANNI",0.03
"187","24/02/2021","X15.ANNI",0.28
"188","24/02/2021","X20.ANNI",0.38
"189","24/02/2021","X25.ANNI",0.42
"190","24/02/2021","X30.ANNI",0.42
"191","25/02/2021","X10.ANNI",0.08
"192","25/02/2021","X15.ANNI",0.31
"193","25/02/2021","X20.ANNI",0.42
"194","25/02/2021","X25.ANNI",0.44
"195","25/02/2021","X30.ANNI",0.44
"196","26/02/2021","X10.ANNI",0.06
"197","26/02/2021","X15.ANNI",0.31
"198","26/02/2021","X20.ANNI",0.39
"199","26/02/2021","X25.ANNI",0.41
"200","26/02/2021","X30.ANNI",0.4
"201","01/03/2021","X10.ANNI",-0.02
"202","01/03/2021","X15.ANNI",0.22
"203","01/03/2021","X20.ANNI",0.32
"204","01/03/2021","X25.ANNI",0.34
"205","01/03/2021","X30.ANNI",0.34
"206","02/03/2021","X10.ANNI",-0.02
"207","02/03/2021","X15.ANNI",0.23
"208","02/03/2021","X20.ANNI",0.34
"209","02/03/2021","X25.ANNI",0.36
"210","02/03/2021","X30.ANNI",0.34
"211","03/03/2021","X10.ANNI",0.03
"212","03/03/2021","X15.ANNI",0.28
"213","03/03/2021","X20.ANNI",0.39
"214","03/03/2021","X25.ANNI",0.41
"215","03/03/2021","X30.ANNI",0.41
"216","04/03/2021","X10.ANNI",0
"217","04/03/2021","X15.ANNI",0.26
"218","04/03/2021","X20.ANNI",0.37
"219","04/03/2021","X25.ANNI",0.4
"220","04/03/2021","X30.ANNI",0.39
"221","05/03/2021","X10.ANNI",0.04
"222","05/03/2021","X15.ANNI",0.29
"223","05/03/2021","X20.ANNI",0.4
"224","05/03/2021","X25.ANNI",0.44
"225","05/03/2021","X30.ANNI",0.42
"226","08/03/2021","X10.ANNI",0.05
"227","08/03/2021","X15.ANNI",0.3
"228","08/03/2021","X20.ANNI",0.41
"229","08/03/2021","X25.ANNI",0.44
"230","08/03/2021","X30.ANNI",0.43
"231","09/03/2021","X10.ANNI",0.03
"232","09/03/2021","X15.ANNI",0.28
"233","09/03/2021","X20.ANNI",0.4
"234","09/03/2021","X25.ANNI",0.41
"235","09/03/2021","X30.ANNI",0.41
"236","10/03/2021","X10.ANNI",0.03
"237","10/03/2021","X15.ANNI",0.27
"238","10/03/2021","X20.ANNI",0.38
"239","10/03/2021","X25.ANNI",0.41
"240","10/03/2021","X30.ANNI",0.39
"241","11/03/2021","X10.ANNI",0.01
"242","11/03/2021","X15.ANNI",0.26
"243","11/03/2021","X20.ANNI",0.37
"244","11/03/2021","X25.ANNI",0.4
"245","11/03/2021","X30.ANNI",0.39
"246","12/03/2021","X10.ANNI",0.05
"247","12/03/2021","X15.ANNI",0.33
"248","12/03/2021","X20.ANNI",0.44
"249","12/03/2021","X25.ANNI",0.47
"250","12/03/2021","X30.ANNI",0.46
"251","15/03/2021","X10.ANNI",0.02
"252","15/03/2021","X15.ANNI",0.28
"253","15/03/2021","X20.ANNI",0.4
"254","15/03/2021","X25.ANNI",0.43
"255","15/03/2021","X30.ANNI",0.42
"256","16/03/2021","X10.ANNI",0.01
"257","16/03/2021","X15.ANNI",0.27
"258","16/03/2021","X20.ANNI",0.39
"259","16/03/2021","X25.ANNI",0.42
"260","16/03/2021","X30.ANNI",0.41
"261","17/03/2021","X10.ANNI",0.06
"262","17/03/2021","X15.ANNI",0.32
"263","17/03/2021","X20.ANNI",0.46
"264","17/03/2021","X25.ANNI",0.48
"265","17/03/2021","X30.ANNI",0.47
"266","18/03/2021","X10.ANNI",0.1
"267","18/03/2021","X15.ANNI",0.37
"268","18/03/2021","X20.ANNI",0.48
"269","18/03/2021","X25.ANNI",0.53
"270","18/03/2021","X30.ANNI",0.52
"271","19/03/2021","X10.ANNI",0.06
"272","19/03/2021","X15.ANNI",0.34
"273","19/03/2021","X20.ANNI",0.46
"274","19/03/2021","X25.ANNI",0.5
"275","19/03/2021","X30.ANNI",0.49
"276","22/03/2021","X10.ANNI",0.07
"277","22/03/2021","X15.ANNI",0.32
"278","22/03/2021","X20.ANNI",0.46
"279","22/03/2021","X25.ANNI",0.5
"280","22/03/2021","X30.ANNI",0.5
"281","23/03/2021","X10.ANNI",0.03
"282","23/03/2021","X15.ANNI",0.31
"283","23/03/2021","X20.ANNI",0.44
"284","23/03/2021","X25.ANNI",0.46
"285","23/03/2021","X30.ANNI",0.46
"286","24/03/2021","X10.ANNI",0.02
"287","24/03/2021","X15.ANNI",0.29
"288","24/03/2021","X20.ANNI",0.42
"289","24/03/2021","X25.ANNI",0.45
"290","24/03/2021","X30.ANNI",0.44
"291","25/03/2021","X10.ANNI",0.01
"292","25/03/2021","X15.ANNI",0.26
"293","25/03/2021","X20.ANNI",0.39
"294","25/03/2021","X25.ANNI",0.41
"295","25/03/2021","X30.ANNI",0.4
"296","26/03/2021","X10.ANNI",0.04
"297","26/03/2021","X15.ANNI",0.31
"298","26/03/2021","X20.ANNI",0.42
"299","26/03/2021","X25.ANNI",0.46
"300","26/03/2021","X30.ANNI",0.45
"301","29/03/2021","X10.ANNI",0.04
"302","29/03/2021","X15.ANNI",0.33
"303","29/03/2021","X20.ANNI",0.45
"304","29/03/2021","X25.ANNI",0.5
"305","29/03/2021","X30.ANNI",0.49
"306","30/03/2021","X10.ANNI",0.08
"307","30/03/2021","X15.ANNI",0.35
"308","30/03/2021","X20.ANNI",0.48
"309","30/03/2021","X25.ANNI",0.51
"310","30/03/2021","X30.ANNI",0.5
"311","31/03/2021","X10.ANNI",0.07
"312","31/03/2021","X15.ANNI",0.34
"313","31/03/2021","X20.ANNI",0.46
"314","31/03/2021","X25.ANNI",0.5
"315","31/03/2021","X30.ANNI",0.48
"316","01/04/2021","X10.ANNI",0.06
"317","01/04/2021","X15.ANNI",0.33
"318","01/04/2021","X20.ANNI",0.44
"319","01/04/2021","X25.ANNI",0.48
"320","01/04/2021","X30.ANNI",0.47
"321","06/04/2021","X10.ANNI",0.04
"322","06/04/2021","X15.ANNI",0.33
"323","06/04/2021","X20.ANNI",0.44
"324","06/04/2021","X25.ANNI",0.48
"325","06/04/2021","X30.ANNI",0.46
"326","07/04/2021","X10.ANNI",0.05
"327","07/04/2021","X15.ANNI",0.33
"328","07/04/2021","X20.ANNI",0.44
"329","07/04/2021","X25.ANNI",0.48
"330","07/04/2021","X30.ANNI",0.48
"331","08/04/2021","X10.ANNI",0.03
"332","08/04/2021","X15.ANNI",0.31
"333","08/04/2021","X20.ANNI",0.43
"334","08/04/2021","X25.ANNI",0.47
"335","08/04/2021","X30.ANNI",0.45
"336","09/04/2021","X10.ANNI",0.07
"337","09/04/2021","X15.ANNI",0.33
"338","09/04/2021","X20.ANNI",0.46
"339","09/04/2021","X25.ANNI",0.49
"340","09/04/2021","X30.ANNI",0.48
"341","12/04/2021","X10.ANNI",0.06
"342","12/04/2021","X15.ANNI",0.33
"343","12/04/2021","X20.ANNI",0.46
"344","12/04/2021","X25.ANNI",0.49
"345","12/04/2021","X30.ANNI",0.48
"346","13/04/2021","X10.ANNI",0.07
"347","13/04/2021","X15.ANNI",0.35
"348","13/04/2021","X20.ANNI",0.47
"349","13/04/2021","X25.ANNI",0.5
"350","13/04/2021","X30.ANNI",0.49
"351","14/04/2021","X10.ANNI",0.09
"352","14/04/2021","X15.ANNI",0.38
"353","14/04/2021","X20.ANNI",0.49
"354","14/04/2021","X25.ANNI",0.53
"355","14/04/2021","X30.ANNI",0.51
"356","15/04/2021","X10.ANNI",0.07
"357","15/04/2021","X15.ANNI",0.33
"358","15/04/2021","X20.ANNI",0.46
"359","15/04/2021","X25.ANNI",0.49
"360","15/04/2021","X30.ANNI",0.48
"361","16/04/2021","X10.ANNI",0.1
"362","16/04/2021","X15.ANNI",0.37
"363","16/04/2021","X20.ANNI",0.47
"364","16/04/2021","X25.ANNI",0.52
"365","16/04/2021","X30.ANNI",0.51
"366","19/04/2021","X10.ANNI",0.1
"367","19/04/2021","X15.ANNI",0.37
"368","19/04/2021","X20.ANNI",0.49
"369","19/04/2021","X25.ANNI",0.52
"370","19/04/2021","X30.ANNI",0.51
"371","20/04/2021","X10.ANNI",0.09
"372","20/04/2021","X15.ANNI",0.36
"373","20/04/2021","X20.ANNI",0.48
"374","20/04/2021","X25.ANNI",0.51
"375","20/04/2021","X30.ANNI",0.49
"376","21/04/2021","X10.ANNI",0.1
"377","21/04/2021","X15.ANNI",0.36
"378","21/04/2021","X20.ANNI",0.46
"379","21/04/2021","X25.ANNI",0.51
"380","21/04/2021","X30.ANNI",0.49
"381","22/04/2021","X10.ANNI",0.08
"382","22/04/2021","X15.ANNI",0.34
"383","22/04/2021","X20.ANNI",0.46
"384","22/04/2021","X25.ANNI",0.5
"385","22/04/2021","X30.ANNI",0.47
"386","23/04/2021","X10.ANNI",0.08
"387","23/04/2021","X15.ANNI",0.35
"388","23/04/2021","X20.ANNI",0.47
"389","23/04/2021","X25.ANNI",0.49
"390","23/04/2021","X30.ANNI",0.47
"391","26/04/2021","X10.ANNI",0.11
"392","26/04/2021","X15.ANNI",0.37
"393","26/04/2021","X20.ANNI",0.47
"394","26/04/2021","X25.ANNI",0.51
"395","26/04/2021","X30.ANNI",0.5
"396","27/04/2021","X10.ANNI",0.12
"397","27/04/2021","X15.ANNI",0.38
"398","27/04/2021","X20.ANNI",0.49
"399","27/04/2021","X25.ANNI",0.52
"400","27/04/2021","X30.ANNI",0.51
"401","28/04/2021","X10.ANNI",0.13
"402","28/04/2021","X15.ANNI",0.39
"403","28/04/2021","X20.ANNI",0.51
"404","28/04/2021","X25.ANNI",0.54
"405","28/04/2021","X30.ANNI",0.53
"406","29/04/2021","X10.ANNI",0.15
"407","29/04/2021","X15.ANNI",0.43
"408","29/04/2021","X20.ANNI",0.55
"409","29/04/2021","X25.ANNI",0.57
"410","29/04/2021","X30.ANNI",0.56
"411","30/04/2021","X10.ANNI",0.14
"412","30/04/2021","X15.ANNI",0.41
"413","30/04/2021","X20.ANNI",0.55
"414","30/04/2021","X25.ANNI",0.56
"415","30/04/2021","X30.ANNI",0.55
"416","03/05/2021","X10.ANNI",0.15
"417","03/05/2021","X15.ANNI",0.43
"418","03/05/2021","X20.ANNI",0.53
"419","03/05/2021","X25.ANNI",0.58
"420","03/05/2021","X30.ANNI",0.56
"421","04/05/2021","X10.ANNI",0.18
"422","04/05/2021","X15.ANNI",0.38
"423","04/05/2021","X20.ANNI",0.5
"424","04/05/2021","X25.ANNI",0.53
"425","04/05/2021","X30.ANNI",0.52
"426","05/05/2021","X10.ANNI",0.11
"427","05/05/2021","X15.ANNI",0.4
"428","05/05/2021","X20.ANNI",0.51
"429","05/05/2021","X25.ANNI",0.53
"430","05/05/2021","X30.ANNI",0.54
"431","06/05/2021","X10.ANNI",0.1
"432","06/05/2021","X15.ANNI",0.38
"433","06/05/2021","X20.ANNI",0.5
"434","06/05/2021","X25.ANNI",0.51
